channel,tagset,tag,notes,thesis_reference
CATMA,Anti-state anti-language,"Family, Hierarchy, Honor, Omertà, Taxation, Us vs Them, War, Slurs","The five ideological pillars (macro level) enacted directly on the transcripts.",Chapter 5
CATMA,Trust,"Individualized, Reputation, System, System of Sanctioning",Meso-level social practice of alternative justice / internal sanctioning.,Chapter 6
CATMA,Threats,"Conditional Threat, Direct, Veiled, Futurity, Incentive, Manipulation, Prevention, Retaliation, Violent verbs",Threat structure and orientation (draws on Muschalik 2018).,§ 8.3-8.4
CATMA,Speech Act Theory,"DIRECTIVES, COMMISIVES, ASSERTION, EXPRESSIVES, DECLARATIONS, REPRESENTATIVES; Locutionary act / Illocutionary force / Perlocutionary act; LEGITIMATION, DELEGITIMIZATION, INTERNALIZATION, SOCIAL CONTROL, MOTIVATION/PUSH, SHAME/SELF-DOUBT, CRITICISM/CORRECTION, COMPLIANCE/BEHAVIORAL CHANGE, QUESTION (rhetorical), DIRECTIVE/ADMONITION","Composite tagset: Searle's speech-act taxonomy + Austin's tripartite structure + CDA manipulation strategies (van Dijk).",Chapter 3 (SAT); Chapter 9
CATMA,Critical Discourse Analysis,(strategy tags applied selectively across files),Ideological-square / manipulation strategy annotation layer.,§ 3.3; Chapter 9
CATMA,Conceptual Metaphor Theory,"Ontological, Orientational, Structural",Lakoff & Johnson (1980) metaphor types.,§ 2.4 / Chapter 9
Spreadsheet,Modal census,"deontic (source: subjective/objective; force: absolute/negotiable); epistemic (hypothetical/uncertainty/probability)","Computationally extracted modal tokens (gotta, must, have to, should, might, could, maybe), manually coded in spreadsheets.",§ 1.4.3; Appendices L-M
Spreadsheet,Agency,"person (I/we); predicate semantic field (command/violence/speech/other)",Pronominal bigrams extracted computationally and manually coded for predicate field.,§ 1.4.3; Appendix J
Spreadsheet,Lexical nodes / Slurs,"category (institutional/ethnic/pedigree/taboo intensifier); sentiment (neutral/hostile); referent group (ingroup/outgroup)",Keyword-node extraction (pay, money, rat, guy, etc.) manually coded for function.,§ 1.4.3; § 9.1.2
Spreadsheet,Relexicalization / Violence verbs,"semantic field (corrective/blunt assault/lethal/severe harm/edged-piercing/asphyxiation/generic); weapon-mediated (yes/no)",Violence-verb inventory classified by semantic field.,§ 9.2.2; Table 9.5
Spreadsheet,Directive mitigation,"mitigation (bald-on-record/mitigated)",Manual classification of directive speech acts (drawn from the CATMA-tagged DIRECTIVES) for mitigation.,§ 1.3.5; Appendix I
